Immatriculation,Sous activité,Genre
DB-070-QG,F.M.   ZC,TRR
DB-074-QG,F.M.   ZL,TRR
DD-531-XE,F.M.   ZC,TRR
DD-538-XE,F.M.   ZC,TRR
DD-551-XE,F.M.   ZC,TRR
DE-292-GZ,Citerne Pulvé,TRR
DF-886-BS,F.M.   ZC,TRR
DG-425-GS,F.M.   ZC,TRR
DG-434-GS,F.M.   ZC,TRR
DG-490-PD,Benne TP,TRR
DG-507-PD,Tautl.  ZL,TRR
DG-517-PD,Citerne Pulvé,TRR
DG-526-PD,Tautl.  ZC,TRR
DG-534-PD,Tautl.  ZC,TRR
DG-540-PD,Tautl.  ZL,TRR
DG-984-PH,Ampliroll,CAM
BA-759-SP,,CTTE
DK-198-LZ,Benne ferraille,SREM
DL-763-RJ,Tautl.  ZC,TRR
DL-767-RJ,F.M.   ZC,TRR
DL-770-RJ,Tautl.  ZC,TRR
DL-774-RJ,Traction,TRR
DL-779-RJ,Tautl.  ZC,TRR
LOC 1,Inconnue,TRR
LOC 2,TAUT dédiée,TRR
CQ-629-WH,Inconnue,CAM
DT-747-EC,Plateaux,TRR
DT-755-EC,Traction,TRR
DT-762-EC,Traction,TRR
DT-771-EC,Traction double poste,TRR
DT-910-NH,Traction double poste,TRR
DT-883-NH,Traction double poste,TRR
DT-899-NH,Traction double poste,TRR
DT-191-YL,Ampliroll,REM
FX1507,Plateaux,TRR
FX1508,Plateaux,TRR
FX1509,Plateau dédié,TRR
CX-846-QL,F.M.   ZC,TRR
DC-727-TZ,F.M.   ZC,SREM
DQ-795-AL,Citerne PN,TRR
DQ-826-AL,Citerne PN,TRR
DQ-835-AL,Citerne déchets,TRR
DQ-858-AL,Ampliroll,TRR
DQ-865-AL,F.M.   ZC,TRR
DQ-880-AL,F.M.   ZC,TRR
DQ-887-AL,Benne TP,TRR
DQ-896-AL,F.M.   ZC,TRR
DS-962-JQ,Plateau dédié,SREM
DS-983-JQ,Plateau dédié,SREM
DS-991-JQ,Plateau dédié,SREM
DS-007-JR,Inconnue,SREM
DV-905-VQ,F.M.   ZC,TRR
DL-265-MD,,VP
DM-861-AY,,VP
BT-486-KJ,Inconnue,TRR
DW-058-HE,Tautl.  ZL,TRR
DW-545-HD,Fond mouvant double poste,TRR
DW-542-HD,Benne ferraille,TRR
DQ-938-ZN,F.M.   ZC,TRR
DQ-959-ZN,Benne ferraille,TRR
DQ-977-ZN,Benne TP,TRR
DQ-991-ZN,F.M.   ZC,TRR
DQ-995-ZN,F.M.   ZC,TRR
DW-124-PN,F.M.   ZC,SREM
DW-921-WV,F.M.   ZC,TRR
DW-550-WV,F.M.   ZC,TRR
DW-700-WW,F.M.   ZL,TRR
DX-509-BK,F.M.   ZC,SREM
DX-549-BK,F.M.   ZL,SREM
DX-604-BK,F.M.   ZC,SREM
AC-362-PG,Service général,CTTE
AE-227-EQ,Service général,CTTE
CX-910-XR,Service général,CTTE
AG-016-ZQ,Porteur Grue,CAM
126 EFZ 95,Porteur Grue,CAM
143 DNP 95,Porteur Grue Dédié,REM
450 EWA 95,Porteur Grue Dédié,CAM
460 EWA 95,Porteur Grue Dédié,CAM
886 ESQ 95,Porteur Grue Dédié,CAM
901 DLC 95,Porteur Grue Dédié,REM
CY-149-WM,Inconnue,TRR
CC-388-NG,Tracteur Grue,SREM
CC-366-NG,Tracteur Grue,SREM
CZ-879-PZ,Porteur Grue Dédié,CAM
CQ-290-TZ,Porteur Grue Dédié,CAM
CR-797-DE,Benne TP,TRR
CR-026-DM,F.M.   ZC,TRR
CR-036-DM,F.M.   ZC,TRR
CX-222-GF,F.M.   ZC,SREM
CX-990-CL,F.M.   ZC,SREM
DB-050-ET,Porte container,SREM
CS-925-EA,Benne ferraille,TRR
DA-120-ZF,Frigo double poste,CAM
DD-719-JK,Plateau dédié,SREM
DD-287-JL,Plateau dédié,SREM
DH-528-SE,Plateaux,SREM
DH-141-SD,Plateaux,SREM
FX1422,F.M.   ZL,TRR
FX1423,F.M.   ZL,TRR
DQ-880-ZF,Benne ferraille,TRR
DW-528-PM,F.M.   ZC,SREM
DW-762-QX,Plateau dédié,SREM
DW-924-QW,F.M.   ZL,SREM
FX1517,Plateaux,TRR
DX-013-DM,F.M.   ZC,TRR
FX1524,F.M.   ZL,TRR
CQ-272-TZ,Porteur Grue,CAM
CQ-220-TZ,Porteur Grue,CAM
CD-750-YZ,Tracteur Grue,SREM
CK-923-MZ,Porteur Grue Dédié,CAM
CS-452-PS,Porteur Grue Dédié,CAM
CH-615-SB,Benne TP,SREM
CK-058-YW,Benne ZL,SREM
BZ-187-EP,Benne ZL,SREM
CH-598-SB,Benne TP,SREM
CH-650-SB,Benne TP,SREM
BY-331-KJ,Tautl.  ZC,TAUT
BY-846-KH,Plateau dédié,SREM
CD-205-VW,Citerne PN,SREM
CJ-435-TV,Citerne déchets,SREM
CJ-530-TV,Citerne déchets,SREM
CJ-216-PQ,Tautl.  ZL,SRTC
CJ-904-PP,Tautl.  ZL,SRTC
CJ-021-PQ,Tautl.  ZC,SRTC
BS-930-NK,Navettes,SREM
BV-126-DM,Tautl.  ZL,SREM
CA-033-CX,Tautl.  ZL,TAUT
BT-963-VL,TAUT dédiée,SREM
BS-998-NK,F.M.   ZC,SREM
CD-782-YF,Service général,TAUT
BX-991-HW,Tautl.  ZL,TAUT
YC6000,Plateaux,SREM
ET4871,Plateaux,SREM
XF5105,Tracteur Grue,SREM
ZD4388,F.M.   ZL,SREM
SE9494,F.M.   ZL,SREM
CC-272-AS,Inconnue,REM
CF-216-NF,Location externe,SREM
CA-571-CV,Tautl.  ZL,TAUT
BX-056-HX,Tautl.  ZL,SREM
2763 TK 88,,TAUT
CJ-137-JF,F.M.   ZC,SREM
CJ-344-JF,Location externe,SREM
AN-002-ZZ,,FOUR
4102 WE 45,,TAUT
BN-414-CM,Tautl.  ZC,SREM
BT-704-MM,F.M.   ZL,SREM
BT-274-MN,F.M.   ZC,SREM
CB-468-ZD,Benne TP,SREM
CH-496-EX,Benne TP,BEN
CH-794-FJ,Tracteur Grue,SREM
